date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2020 Aug 15",2459076.7272,"i", -16.05, 19.70,0.13, 20.05,"P48+ZTF","2","None","None",True,True
"2020 Aug 16",2459077.6500,"r", -16.04, 19.71,0.21, 20.32,"P48+ZTF","3","None","None",True,True
"2020 Aug 17",2459078.6847,"r", -15.99, 19.75,0.18, 20.66,"P48+ZTF","1","None","None",True,True
"2020 Aug 17",2459078.6856,"r", -15.97, 19.78,0.17, 20.65,"P48+ZTF","3","None","None",True,True
"2020 Aug 18",2459079.6932,"r", -15.99, 19.76,0.18, 20.60,"P48+ZTF","3","None","None",True,True
"2020 Aug 19",2459080.6863,"r", -15.92, 19.82,0.18, 20.34,"P48+ZTF","3","None","None",True,True
"2020 Aug 19",2459080.7476,"i", -16.19, 19.56,0.17, 19.90,"P48+ZTF","2","None","None",True,True
"2020 Aug 20",2459081.7028,"r", -15.96, 19.79,0.20, 20.30,"P48+ZTF","3","None","None",True,True
"2020 Aug 20",2459081.7037,"r", -15.94, 19.81,0.16, 20.32,"P48+ZTF","1","None","None",True,True
"2020 Aug 21",2459082.6724,"r", -15.95, 19.80,0.20, 20.44,"P48+ZTF","3","None","None",True,True
"2020 Sep 06",2459098.6570,"r", -15.47, 20.28,0.20, 20.53,"P48+ZTF","2","None","None",True,True

