date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Mar 05",2458547.9573,"i", -27.75, 17.97,0.11, 19.95,"P48+ZTF","2","None","None",True,False
"2019 Mar 14",2458557.0017,"r", 99.0, 99.0,99.0, 19.91,"P48+ZTF","1","None","None",True,False
"2019 Mar 14",2458557.0017,"r", 99.0, 99.0,99.0, 19.91,"P48+ZTF","1","None","None",True,True
"2019 Mar 15",2458557.8395,"i", 99.0, 99.0,99.0, 19.08,"P48+ZTF","2","None","None",True,False
"2019 Mar 15",2458557.8395,"i", 99.0, 99.0,99.0, 19.08,"P48+ZTF","2","None","None",True,True
"2019 Mar 18",2458560.9187,"r", 99.0, 99.0,99.0, 20.02,"P48+ZTF","1","None","None",True,False
"2019 Mar 18",2458560.9187,"r", 99.0, 99.0,99.0, 20.02,"P48+ZTF","1","None","None",True,True
"2019 Mar 18",2458561.0007,"g", 99.0, 99.0,99.0, 20.02,"P48+ZTF","1","None","None",True,False
"2019 Mar 18",2458561.0007,"g", 99.0, 99.0,99.0, 20.02,"P48+ZTF","1","None","None",True,True
"2019 Mar 19",2458561.9597,"i", 99.0, 99.0,99.0, 17.89,"P48+ZTF","2","None","None",True,False
"2019 Mar 19",2458561.9597,"i", 99.0, 99.0,99.0, 17.89,"P48+ZTF","2","None","None",True,True
"2019 Mar 26",2458568.8987,"g", -26.21, 19.52,0.19, 19.87,"P48+ZTF","1","None","None",True,False
"2019 Mar 26",2458568.9606,"i", -27.49, 18.23,0.10, 19.58,"P48+ZTF","2","None","None",True,False
"2019 Mar 26",2458568.9994,"r", 99.0, 99.0,99.0, 19.72,"P48+ZTF","1","None","None",True,False
"2019 Mar 26",2458568.9994,"r", 99.0, 99.0,99.0, 19.72,"P48+ZTF","1","None","None",True,True
"2019 Mar 30",2458572.8798,"g", -26.72, 19.01,0.17, 20.11,"P48+ZTF","1","None","None",True,False
"2019 Mar 30",2458572.9150,"i", -27.88, 17.85,0.12, 19.56,"P48+ZTF","2","None","None",True,False
"2019 Mar 30",2458572.9582,"r", 99.0, 99.0,99.0, 20.38,"P48+ZTF","1","None","None",True,False
"2019 Mar 30",2458572.9582,"r", 99.0, 99.0,99.0, 20.38,"P48+ZTF","1","None","None",True,True
"2019 Apr 02",2458575.8347,"g", -26.72, 19.01,0.10, 20.74,"P48+ZTF","1","None","None",True,False
"2019 Apr 07",2458580.8927,"r", -27.28, 18.45,0.10, 20.45,"P48+ZTF","1","None","None",True,False
"2019 Apr 07",2458580.8982,"g", -26.86, 18.87,0.10, 20.39,"P48+ZTF","1","None","None",True,False
"2019 Apr 08",2458581.8934,"i", -28.01, 17.72,0.09, 19.67,"P48+ZTF","2","None","None",True,False
"2019 Apr 10",2458583.8523,"r", -27.22, 18.51,0.11, 20.01,"P48+ZTF","1","None","None",True,False
"2019 Apr 10",2458583.8759,"g", -26.84, 18.89,0.15, 20.14,"P48+ZTF","1","None","None",True,False
"2019 Apr 13",2458586.8561,"r", -27.33, 18.40,0.11, 20.21,"P48+ZTF","1","None","None",True,False
"2019 Apr 14",2458587.8528,"i", -28.08, 17.65,0.08, 19.28,"P48+ZTF","2","None","None",True,False
"2019 Apr 16",2458589.8358,"r", 99.0, 99.0,99.0, 17.57,"P48+ZTF","1","None","None",True,False
"2019 Apr 16",2458589.8358,"r", 99.0, 99.0,99.0, 17.57,"P48+ZTF","1","None","None",True,True
"2019 Apr 18",2458591.8114,"i", -28.11, 17.62,0.13, 18.19,"P48+ZTF","2","None","None",True,False
"2019 Apr 23",2458596.8766,"i", -28.08, 17.64,0.06, 19.66,"P48+ZTF","2","None","None",True,False
"2019 Apr 24",2458597.7971,"g", -26.68, 19.05,0.12, 20.36,"P48+ZTF","1","None","None",True,False
"2019 Apr 24",2458597.8787,"r", -27.06, 18.67,0.15, 20.22,"P48+ZTF","1","None","None",True,False
"2019 Apr 26",2458599.7942,"g", -26.63, 19.10,0.07, 21.24,"P48+ZTF","2","None","None",True,False
"2019 May 03",2458606.8578,"r", -27.02, 18.71,0.14, 20.61,"P48+ZTF","1","None","None",True,False
"2019 May 03",2458606.9360,"g", -26.64, 19.09,0.13, 20.77,"P48+ZTF","1","None","None",True,False
"2019 May 04",2458607.7813,"i", -27.95, 17.78,0.10, 20.01,"P48+ZTF","2","None","None",True,False
"2019 May 09",2458612.7942,"g", -26.62, 19.10,0.11, 20.86,"P48+ZTF","1","None","None",True,False
"2019 May 09",2458612.8374,"r", -27.02, 18.71,0.17, 20.78,"P48+ZTF","1","None","None",True,False
"2019 May 13",2458616.7727,"g", -26.76, 18.97,0.12, 20.04,"P48+ZTF","1","None","None",True,False
"2019 May 13",2458616.7948,"r", -27.20, 18.53,0.11, 20.07,"P48+ZTF","1","None","None",True,False
"2019 May 13",2458616.8157,"i", -28.06, 17.67,0.11, 19.78,"P48+ZTF","2","None","None",True,False
"2019 May 16",2458619.7727,"g", -26.75, 18.98,0.18, 19.01,"P48+ZTF","1","None","None",True,False
"2019 May 16",2458619.8156,"r", -27.13, 18.60,0.18, 18.93,"P48+ZTF","1","None","None",True,False
"2019 May 24",2458627.9382,"i", -28.14, 17.59,0.09, 19.73,"P48+ZTF","2","None","None",True,False
"2019 May 25",2458628.8115,"r", -27.34, 18.39,0.14, 20.48,"P48+ZTF","1","None","None",True,False
"2019 May 29",2458632.7724,"r", -27.46, 18.27,0.11, 20.34,"P48+ZTF","1","None","None",True,False
"2019 May 29",2458632.8416,"g", -26.93, 18.80,0.10, 20.44,"P48+ZTF","1","None","None",True,False
"2019 May 31",2458634.7503,"g", -26.97, 18.76,0.10, 20.69,"P48+ZTF","1","None","None",True,False
"2019 Jun 01",2458635.7123,"g", -27.02, 18.71,0.08, 20.85,"P48+ZTF","1","None","None",True,False
"2019 Jun 01",2458635.7916,"r", -27.54, 18.19,0.10, 20.77,"P48+ZTF","1","None","None",True,False
"2019 Jun 03",2458637.7871,"i", -28.34, 17.39,0.08, 20.06,"P48+ZTF","2","None","None",True,False
"2019 Jun 04",2458638.8167,"g", -27.08, 18.64,0.11, 20.63,"P48+ZTF","1","None","None",True,False
"2019 Jun 07",2458641.7093,"g", -26.99, 18.74,0.09, 20.68,"P48+ZTF","1","None","None",True,False
"2019 Jun 07",2458641.7697,"i", -28.37, 17.36,0.07, 20.00,"P48+ZTF","2","None","None",True,False
"2019 Jun 07",2458641.7746,"r", -27.62, 18.11,0.11, 20.73,"P48+ZTF","1","None","None",True,False
"2019 Jun 09",2458643.7087,"g", -27.03, 18.70,0.12, 20.30,"P48+ZTF","1","None","None",True,False
"2019 Jun 10",2458644.7089,"g", -27.08, 18.65,0.08, 20.29,"P48+ZTF","1","None","None",True,False
"2019 Jun 10",2458644.7547,"r", -27.61, 18.11,0.10, 20.37,"P48+ZTF","1","None","None",True,False
"2019 Jun 11",2458645.7535,"i", -28.37, 17.36,0.06, 19.38,"P48+ZTF","2","None","None",True,False
"2019 Jun 11",2458645.7707,"i", -28.34, 17.39,0.10, 19.60,"P48+ZTF","2","None","None",True,False
"2019 Jun 13",2458647.7311,"r", -27.71, 18.02,0.09, 19.57,"P48+ZTF","1","None","None",True,False
"2019 Jun 15",2458649.8313,"i", -28.37, 17.36,0.07, 18.92,"P48+ZTF","2","None","None",True,False
"2019 Jun 16",2458650.6917,"g", -27.23, 18.50,0.12, 19.28,"P48+ZTF","1","None","None",True,False
"2019 Jun 16",2458650.7546,"r", -27.70, 18.03,0.09, 19.57,"P48+ZTF","1","None","None",True,False
"2019 Jun 19",2458653.7322,"i", -28.45, 17.28,0.05, 19.54,"P48+ZTF","2","None","None",True,False
"2019 Jun 20",2458654.6887,"r", -27.74, 17.98,0.08, 20.49,"P48+ZTF","1","None","None",True,False
"2019 Jun 20",2458654.7513,"g", -27.18, 18.55,0.08, 20.07,"P48+ZTF","1","None","None",True,False
"2019 Jun 23",2458657.7110,"g", -27.21, 18.52,0.09, 20.67,"P48+ZTF","1","None","None",True,False
"2019 Jun 23",2458657.7553,"r", -27.76, 17.97,0.06, 20.40,"P48+ZTF","1","None","None",True,False
"2019 Jun 25",2458659.6744,"i", -28.41, 17.32,0.08, 19.83,"P48+ZTF","2","None","None",True,False
"2019 Jun 26",2458660.7105,"r", -27.73, 18.00,0.06, 20.37,"P48+ZTF","1","None","None",True,False
"2019 Jun 29",2458663.6714,"i", -28.40, 17.33,0.08, 19.22,"P48+ZTF","2","None","None",True,False
"2019 Jun 29",2458663.6915,"r", -27.75, 17.98,0.10, 19.20,"P48+ZTF","1","None","None",True,False
"2019 Jun 29",2458663.7122,"g", -27.25, 18.48,0.08, 20.69,"P48+ZTF","1","None","None",True,False
"2019 Jul 02",2458666.6719,"r", -27.74, 17.99,0.11, 20.26,"P48+ZTF","1","None","None",True,False
"2019 Jul 03",2458667.6862,"i", -28.44, 17.29,0.08, 19.99,"P48+ZTF","2","None","None",True,False
"2019 Jul 05",2458669.6847,"r", -27.80, 17.93,0.08, 20.24,"P48+ZTF","1","None","None",True,False
"2019 Jul 07",2458671.6862,"i", -28.47, 17.26,0.11, 19.25,"P48+ZTF","2","None","None",True,False
"2019 Jul 08",2458672.6816,"g", -27.26, 18.47,0.08, 20.37,"P48+ZTF","1","None","None",True,False
"2019 Jul 08",2458672.6933,"r", -27.79, 17.93,0.09, 20.44,"P48+ZTF","1","None","None",True,False
"2019 Jul 11",2458675.6788,"i", -28.50, 17.23,0.06, 19.16,"P48+ZTF","2","None","None",True,False
"2019 Jul 11",2458675.6886,"i", -28.47, 17.26,0.08, 19.26,"P48+ZTF","2","None","None",True,False
"2019 Jul 11",2458675.7338,"r", -27.76, 17.96,0.09, 19.66,"P48+ZTF","1","None","None",True,False
"2019 Jul 11",2458675.7994,"g", -27.25, 18.48,0.09, 19.48,"P48+ZTF","1","None","None",True,False
"2019 Jul 14",2458678.6935,"r", -27.74, 17.99,0.09, 19.77,"P48+ZTF","1","None","None",True,False
"2019 Jul 14",2458678.7705,"g", -27.00, 18.73,0.12, 19.34,"P48+ZTF","1","None","None",True,False
"2019 Jul 17",2458681.6675,"g", -27.19, 18.54,0.13, 19.44,"P48+ZTF","1","None","None",True,False
"2019 Jul 17",2458681.7530,"r", -27.76, 17.97,0.10, 19.39,"P48+ZTF","1","None","None",True,False
"2019 Jul 20",2458684.6868,"r", -27.78, 17.95,0.09, 20.38,"P48+ZTF","1","None","None",True,False
"2019 Jul 23",2458687.6665,"r", -27.68, 18.05,0.35, 17.64,"P48+ZTF","1","None","None",True,False
"2019 Jul 26",2458690.6717,"r", -27.82, 17.91,0.09, 20.38,"P48+ZTF","1","None","None",True,False
"2019 Jul 26",2458690.6947,"g", -27.28, 18.45,0.08, 20.59,"P48+ZTF","1","None","None",True,False
"2019 Jul 29",2458693.7342,"g", -27.40, 18.33,0.10, 20.34,"P48+ZTF","1","None","None",True,False
"2019 Jul 31",2458695.6929,"r", -28.11, 17.62,0.12, 17.98,"P48+ZTF","2","None","None",True,False
"2019 Jul 31",2458695.7141,"g", -27.14, 18.59,0.05, 19.78,"P48+ZTF","2","None","None",True,False
"2019 Aug 03",2458698.6766,"r", -27.93, 17.80,0.08, 19.93,"P48+ZTF","1","None","None",True,False
