 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 29 667 15 3 ZTF_r 509198855915 0 1.823 168.383 6.04089 27.4054 1.09523e-05 0.0269619 0.123014 1.57884e-05 435 90. 0.057017 0.047172 20.5596 26.275 2 2458263.6988542 667120259 -0.619240218565632 22.6880122710311 -0.0303611003990751 1.0168978364454 54.4604204962934 41.2201736172264 1.33010634721826 1.05821696091436 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 30 667 15 3 ZTF_i 512218285915 0 2.3039 284.004 10.348 25.5048 4.5418e-06 0.0268539 0.182163 1.66207e-05 434 30. 0.0605 0.055401 19.2089 25.5048 2 2458266.718287 667120359 97.419092281974 39.9732357008073 2.71100036067657 0.969731265418566 79.7109078291494 72.1025772212283 1.11296667154239 1.03994447610372 0.139347427695146 18.976999912262 0.028999999165535 0.745999991893768 0.0329999998211861 2458173.748542 2458266.718287 0
 31 667 15 3 ZTF_g 513168275915 0 2.1817 87.4538 15.6257 26.2708 3.26818e-05 0.042064 -0.0499409 5.83021e-05 333 30. 0.055468 0.048909 19.389 26.2708 1 2458267.6682755 667120159 -45.4074388740191 73.1779456723371 -0.69024233839522 0.914980849198939 -101.093646343932 130.203112950417 -0.781659635950716 1.06226850334465 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 32 667 15 3 ZTF_r 513278815915 1 2.3823 168.569 85.2343 25.1513 0.00132265 0.17216 0.147658 0.00227217 169 30. 0.099122 0.071806 17.4767 26.275 1 2458267.7788194 667120259 -784.682820606458 416.810685432536 -2.09416116470297 0.983739657426435 -1106.43339413625 690.357717247543 -1.61349001955879 1.0734179271219 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 33 667 15 3 ZTF_g 516255325915 0 2.6082 72.341 14.1655 26.032 2.9052e-05 0.0359717 -0.0191053 5.82805e-05 280 30. 0.072544 0.05606 19.109 26.032 1 2458270.7553241 667120159 -68.0935719507019 74.307098706347 -1.0193671000425 1.02615956249551 -37.2913697461173 118.922300897504 -0.315689563551836 1.08893669601607 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 34 667 15 3 ZTF_g 520215635915 0 2.4556 84.1987 5.41365 26.2354 1.68852e-05 0.0332704 -0.0860313 2.45699e-05 420 30. 0.0645 0.053703 20.4391 26.2354 1 2458274.7156366 667120159 -1.46625523443842 27.0471189314621 -0.0603036175682089 0.955979616722109 23.0247589102299 46.4208290325874 0.49934118948943 1.05497996865204 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 35 667 15 3 ZTF_g 524197265915 0 2.7669 81.2555 6.2898 26.1855 1.85088e-05 0.0344695 -0.0648584 2.83209e-05 412 30. 0.079245 0.073122 20.1236 26.1855 1 2458278.6972685 667120159 18.7276115683159 32.6868728759965 0.637329205081185 1.0192956207389 14.3262613743398 51.5074486682856 0.280012890210122 1.07725282041341 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 36 667 15 3 ZTF_g 535181015915 0 2.2662 80.8686 10.9375 26.1905 2.52587e-05 0.0391779 -0.0755466 4.22322e-05 383 30. 0.072027 0.05741 19.6336 26.1905 1 2458289.6810185 667120159 33.4884186091358 49.8746962977524 0.746911552446138 1.09788535231533 26.1032278101471 88.0215934390866 0.298552133908835 1.05149649130495 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 37 667 15 3 ZTF_r 535222345915 0 2.4433 136.932 11.8913 26.0346 1.49403e-05 0.031245 0.110849 2.12863e-05 438 30. 0.075069 0.061498 19.3512 26.0346 1 2458289.7223495 667120259 98.2452405391484 60.5242992870938 1.80566238577558 0.995809670300158 -21.4025069555358 104.76170836563 -0.20567299261742 1.04887628508828 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 38 667 15 3 ZTF_g 633506685915 0 2.469 79.5295 16.9973 26.1473 4.26172e-05 0.0423388 -0.0418522 8.03355e-05 277 30. 0.090281 0.068667 19.064 26.1473 1 2458388.0066898 667120159 68.6738147194306 88.3034395226868 0.865104066231353 0.917238520347061 -45.2037805401905 148.002515376153 -0.30748281870253 1.06001881773555 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 39 667 15 3 ZTF_g 636491005915 0 2.7914 75.2042 11.5842 26.0785 3.41088e-05 0.0412156 -0.0332081 6.38909e-05 314 30. 0.075718 0.069444 19.3104 26.0785 1 2458390.9910069 667120159 86.5691035725567 64.1106151387662 1.50206171749093 0.950644130632267 101.561178151008 99.7879972576125 1.02462421673031 1.06835855876846 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 40 667 15 3 ZTF_r 671485055915 0 2.6407 158.691 6.94132 26.1942 1.27996e-05 0.0288594 0.113327 1.81365e-05 436 30. 0.074162 0.061619 20.0274 26.1942 3 2458425.9850579 667120259 62.7262712487058 38.0544190609218 1.83357710063933 0.949928183110969 49.1106587827957 60.7357118547907 0.814042025447592 1.06592784985131 0.141166208057232 19.3689998626709 0.0240000002086163 1.27100002765656 0.0260000005364418 2458154.777546 2458184.791562 0
 41 667 15 3 ZTF_g 671524275915 0 2.8511 92.5733 5.20813 26.3256 2.03871e-05 0.036426 -0.0635968 2.97385e-05 423 30. 0.083745 0.072294 20.4206 26.3256 3 2458426.0242708 667120159 42.4248249573579 29.5952207822119 1.59460556729957 1.00963031203315 11.7857605234941 45.3064879090728 0.261886075180338 1.07881736186445 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
 42 667 15 3 ZTF_g 672470315915 0 1.9626 89.6101 4.74399 26.2964 1.00556e-05 0.0257079 -0.0751896 1.43e-05 436 30. 0.059632 0.054139 20.8078 26.2964 3 2458426.9703125 667120159 47.1250441661313 20.3714908991144 2.57326052088384 0.938164909586938 84.228207380586 38.0017697366583 2.23135632342824 1.04357074230243 0.217247605542328 19.8459999084473 0.025000000372529 0.816999971866608 0.0439999997615814 2458166.757685 2458428.028090 0
